ticker,market_cap,pe,pb,roce_pct,roe_pct,peg,debt_to_equity,opm_pct,insider_holding_pct,pledging_status,market_cap_ok,pe_ok,pb_ok,roce_ok,roe_ok,peg_ok,de_ok,opm_ok,insider_holding_ok,unknown_metric_count,qualified
MMM,84944642048,29.255774,28.775333,18.33,81.89,1.5344,437.937,20.35,0.1,NOT AVAILABLE - manual check only,True,False,False,True,True,True,False,True,False,0,False
AOS,7737275392,15.857939,4.200856,31.95,27.13,1.3455,36.766,18.93,0.46,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
ABT,178065555456,33.084145,3.4610827,12.76,10.58,1.8783,63.212,14.71,0.5,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,False,False,0,False
ABBV,466554290176,74.58192,-78.60077,10.47,,0.537,,40.03,0.11,NOT AVAILABLE - manual check only,True,False,True,False,,True,,True,False,2,False
ACN,116446453760,15.198881,3.6509275,24.07,24.41,1.3778,25.035,16.96,0.04,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
ADBE,100436320256,14.107761,8.483984,46.63,61.9,0.6053,57.48,34.82,0.22,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
AMD,889845841920,139.76666,13.233231,6.33,10.2,0.522,6.361,17.25,0.42,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
AES,10590392320,5.5617976,2.1428573,3.42,9.57,,256.886,18.67,0.58,NOT AVAILABLE - manual check only,True,False,True,False,False,,False,True,False,1,False
AFL,58456629248,12.578209,1.9319988,,16.91,,53.365,25.72,10.92,NOT AVAILABLE - manual check only,True,True,True,,True,,True,True,False,2,False
A,44076756992,30.83629,5.987056,14.9,20.97,1.2691,56.336,25.56,0.19,NOT AVAILABLE - manual check only,True,False,False,False,True,True,True,True,False,0,False
APD,63714783232,,4.5891542,-0.62,0.02,2.0659,110.091,25.54,1.89,NOT AVAILABLE - manual check only,True,,False,False,False,False,False,True,False,1,False
ABNB,99356499968,37.97025,12.552386,29.72,34.54,1.5893,32.004,21.01,1.94,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
AKAM,15389174784,38.797104,3.2379801,6.02,8.92,1.6722,196.672,7.63,2.13,NOT AVAILABLE - manual check only,True,False,False,False,False,True,False,False,False,0,False
ALB,13576481792,426.1111,1.6884357,-2.36,2.65,0.7941,18.976,27.71,0.2,NOT AVAILABLE - manual check only,True,False,True,False,False,True,True,True,False,0,False
ARE,9695848448,,0.61842096,-3.1,-4.08,,68.67,17.28,1.38,NOT AVAILABLE - manual check only,True,,True,False,False,,True,True,False,2,False
ALGN,10635377664,25.99132,2.5200734,13.57,10.15,0.6335,2.855,18.25,6.13,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
ALLE,13064201216,20.134995,6.1681457,19.46,33.73,2.0239,104.895,22.1,0.23,NOT AVAILABLE - manual check only,True,True,False,True,True,False,False,True,False,0,False
LNT,17278732288,21.088606,2.2949238,5.02,11.13,2.0354,160.951,19.05,0.15,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
ALL,63773306880,5.049249,2.0210593,,46.11,1.8742,22.261,22.83,0.5,NOT AVAILABLE - manual check only,True,False,True,,True,True,True,True,False,1,False
GOOGL,4247823319040,17.436245,6.824308,32.4,48.68,1.2253,18.859,34.03,1.6,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
GOOG,4203184128000,17.253012,6.7525935,32.4,48.68,1.2128,18.859,34.03,0.52,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
MO,116381138944,14.673683,-43.61702,40.85,,2.6858,,76.12,0.12,NOT AVAILABLE - manual check only,True,True,True,True,,False,,True,False,2,False
AMZN,2709413953536,20.224638,4.9102745,16.6,30.56,1.4394,45.617,13.69,8.87,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,False,False,0,False
AMCR,19594211328,17.806723,1.6605283,6.6,9.4,0.9587,128.294,9.69,0.26,NOT AVAILABLE - manual check only,True,True,True,False,False,True,False,False,False,0,False
AEE,28764014592,18.292253,2.10124,5.32,11.94,2.5467,157.846,25.24,0.32,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
AEP,66209611776,21.07799,2.0638394,5.68,10.13,2.0428,160.789,23.25,0.03,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
AXP,210136170496,18.89314,6.127203,,34.38,1.2662,172.38,20.32,22.56,NOT AVAILABLE - manual check only,True,True,False,,True,True,False,True,False,1,False
AIG,39572557824,13.810219,0.9779546,,7.22,0.6415,22.466,19.41,0.55,NOT AVAILABLE - manual check only,True,True,True,,False,True,True,True,False,1,False
AMT,81813266432,24.151306,21.994238,7.82,33.91,1.6669,438.721,45.41,0.08,NOT AVAILABLE - manual check only,True,True,False,False,True,True,False,True,False,0,False
AWK,27472295936,23.958406,2.3551059,6.64,10.1,2.4408,137.745,40.66,0.12,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
AMP,48239882240,13.1875305,7.581905,,63.43,1.5203,67.578,30.72,0.18,NOT AVAILABLE - manual check only,True,True,False,,True,True,True,True,False,1,False
AME,53706850304,34.207302,4.7705526,14.21,14.56,2.6379,20.522,26.18,0.39,NOT AVAILABLE - manual check only,True,False,False,False,False,False,True,True,False,0,False
AMGN,205321224192,23.574177,17.566141,18.02,91.47,2.2655,490.281,35.55,0.23,NOT AVAILABLE - manual check only,True,True,False,True,True,False,False,True,False,0,False
APH,193257832448,39.185,12.471356,20.28,38.12,0.8746,120.415,29.78,0.53,NOT AVAILABLE - manual check only,True,False,False,True,True,True,False,True,False,0,False
ADI,175727673344,42.96801,5.237655,6.77,12.23,0.541,27.314,39.5,0.24,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
AON,62799732736,16.311295,6.539073,20.23,44.7,2.2654,163.481,23.46,1.01,NOT AVAILABLE - manual check only,True,True,False,True,True,False,False,True,False,0,False
APA,15926979584,9.590717,2.2705026,20.2,26.66,1.2079,48.854,56.33,0.44,NOT AVAILABLE - manual check only,True,False,True,True,True,True,True,True,False,0,False
APO,74408435712,44.83986,3.7012014,5.46,11.41,0.4667,100.969,21.95,26.34,NOT AVAILABLE - manual check only,True,False,False,False,False,True,False,True,False,0,False
AAPL,4918238773248,38.69116,45.788044,68.72,148.75,2.6691,78.445,32.62,1.65,NOT AVAILABLE - manual check only,True,False,False,True,True,False,True,True,False,0,False
AMAT,331247550464,36.013805,12.926202,33.71,41.07,0.8257,28.666,33.74,0.33,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
APP,107623612416,24.738462,34.089466,70.2,203.69,0.7076,111.13,77.68,14.31,NOT AVAILABLE - manual check only,True,True,False,True,True,True,False,True,False,0,False
APTV,9230886912,19.737556,1.0383736,6.97,5.16,0.9507,64.938,12.68,0.84,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,False,False,0,False
ACGL,32974698496,7.56651,1.4154395,,19.94,,17.836,26.58,2.79,NOT AVAILABLE - manual check only,True,False,True,,True,,True,True,False,2,False
ADM,42455547904,24.068304,1.8011736,5.68,7.64,1.0503,39.134,4.01,0.71,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,False,False,0,False
ARES,41578160128,57.223743,11.36071,9.72,14.94,0.9228,172.378,19.38,11.16,NOT AVAILABLE - manual check only,True,False,False,False,False,True,False,True,False,0,False
ANET,251652161536,63.142403,17.00588,27.4,31.48,1.4781,,45.39,17.25,NOT AVAILABLE - manual check only,True,False,False,True,True,True,,True,False,1,False
AJG,61883281408,40.10133,2.6088223,6.58,6.72,0.722,59.401,19.16,0.87,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
AIZ,13998578688,13.579426,2.2983544,,18.34,,36.211,11.73,0.71,NOT AVAILABLE - manual check only,True,True,True,,True,,True,False,False,2,False
T,173982072832,8.379538,1.5813403,9.23,18.34,1.5723,129.054,24.79,0.09,NOT AVAILABLE - manual check only,True,False,True,False,True,True,False,True,False,0,False
ATO,27381215232,19.312275,1.7945111,6.14,9.79,1.9532,67.662,37.22,0.4,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,True,False,0,False
ADSK,45695758336,28.357977,13.507135,26.94,53.85,0.8477,109.518,29.23,0.23,NOT AVAILABLE - manual check only,True,False,False,True,True,True,False,True,False,0,False
ADP,108150808576,24.907593,17.956598,47.0,72.24,2.5342,91.436,23.46,0.17,NOT AVAILABLE - manual check only,True,True,False,True,True,False,True,True,False,0,False
AZO,46434369536,19.57543,-16.72032,36.82,,1.2888,,19.08,0.26,NOT AVAILABLE - manual check only,True,True,True,True,,True,,True,False,2,False
