ticker,start_date,end_date,num_days,range_low,range_high,pct_move,reentry_date,exit_date,days_to_sell_zone,trade_status,current_price,pct_above_low,status,fundamentally_qualified
ACN,2026-07-24,2026-07-29,4,140.71,176.4,25.36,,,,never_reentered,183.5,30.41,ALREADY_RAN_PAST_HIGH,False
ADBE,2026-07-24,2026-07-29,4,216.15,266.28,23.19,,,,never_reentered,245.23,13.45,BETWEEN_LOW_AND_HIGH,False
ADSK,2026-07-24,2026-07-29,4,204.48,249.14,21.84,,,,never_reentered,216.76,6.01,BETWEEN_LOW_AND_HIGH,False
AMZN,2026-07-30,2026-08-04,4,231.06,287.2,24.3,,,,never_reentered,256.93,11.19,BETWEEN_LOW_AND_HIGH,False
AXON,2026-07-30,2026-08-04,4,502.72,608.19,20.98,2026-09-02,,,still_holding,447.58,-10.97,IN_BUY_ZONE,False
AXON,2026-08-07,2026-08-11,3,525.01,642.5,22.38,2026-09-01,,,still_holding,447.58,-14.75,IN_BUY_ZONE,False
CDW,2026-08-04,2026-08-06,3,113.0,154.5,36.73,,,,never_reentered,148.14,31.1,BETWEEN_LOW_AND_HIGH,False
CHTR,2026-07-24,2026-07-31,6,111.55,146.85,31.65,,,,never_reentered,122.65,9.95,BETWEEN_LOW_AND_HIGH,False
COHR,2026-08-05,2026-08-07,3,309.19,391.37,26.58,2026-08-18,,,still_holding,317.91,2.82,IN_BUY_ZONE,False
CRM,2026-08-26,2026-09-01,5,198.95,263.53,32.46,,,,never_reentered,234.07,17.65,BETWEEN_LOW_AND_HIGH,False
CRWD,2026-08-26,2026-08-27,2,181.24,229.08,26.4,,,,never_reentered,248.26,36.98,ALREADY_RAN_PAST_HIGH,False
CSGP,2026-07-24,2026-07-30,5,25.89,31.4,21.28,,,,never_reentered,28.75,11.05,BETWEEN_LOW_AND_HIGH,False
CTSH,2026-07-23,2026-07-31,7,42.12,57.06,35.47,,,,never_reentered,58.75,39.48,ALREADY_RAN_PAST_HIGH,False
CVNA,2026-07-27,2026-08-05,8,56.12,70.18,25.05,,,,never_reentered,67.3,19.92,BETWEEN_LOW_AND_HIGH,False
DELL,2026-08-03,2026-08-04,2,390.11,476.9,22.25,,,,never_reentered,565.7,45.01,ALREADY_RAN_PAST_HIGH,False
DELL,2026-09-02,2026-09-08,4,432.27,538.47,24.57,,,,never_reentered,565.7,30.87,ALREADY_RAN_PAST_HIGH,False
DXCM,2026-07-24,2026-08-03,7,69.79,87.63,25.56,,,,never_reentered,88.77,27.2,ALREADY_RAN_PAST_HIGH,False
