ticker,total_v20_matches,completed_round_trips,still_holding_count,never_reentered_count,avg_days_to_sell_zone,min_days_to_sell_zone,max_days_to_sell_zone
CVNA,58,34,1,23,123.7,1.0,649.0
COIN,39,32,3,4,101.9,2.0,737.0
SMCI,36,22,4,10,18.0,0.0,47.0
APP,30,19,4,7,172.8,3.0,579.0
MRNA,27,19,3,5,175.5,1.0,537.0
HOOD,25,14,1,10,108.3,1.0,475.0
SNDK,22,9,2,11,25.8,4.0,52.0
LITE,21,9,2,10,19.3,1.0,120.0
PLTR,20,11,0,9,116.6,30.0,266.0
VRT,18,8,1,9,26.4,9.0,66.0
COHR,16,6,3,7,64.5,5.0,143.0
RDDT,15,7,3,5,35.0,4.0,113.0
DDOG,14,11,1,2,201.0,4.0,922.0
FSLR,14,11,1,2,127.3,37.0,454.0
TTD,14,12,2,0,191.2,3.0,706.0
CCL,13,8,1,4,98.0,15.0,287.0
AMD,13,6,1,6,118.0,17.0,384.0
CIEN,13,5,1,7,38.4,5.0,101.0
XYZ,13,7,3,3,100.9,2.0,562.0
TSLA,12,10,0,2,111.5,4.0,646.0
TPL,12,6,4,2,127.5,29.0,312.0
PSKY,12,6,5,1,165.3,3.0,597.0
VST,11,3,2,6,24.7,3.0,68.0
INTC,11,2,2,7,50.0,10.0,90.0
ON,11,5,2,4,44.0,16.0,86.0
DASH,11,10,0,1,106.4,3.0,442.0
WBD,10,7,0,3,431.7,16.0,941.0
ECHO,10,8,0,2,54.1,0.0,268.0
GNRC,10,7,2,1,199.3,16.0,906.0
AXON,9,2,3,4,82.5,61.0,104.0
CRWD,9,6,0,3,142.2,15.0,395.0
HPE,9,3,0,6,55.0,45.0,61.0
UBER,9,5,0,4,126.4,14.0,357.0
MPWR,9,5,1,3,66.4,14.0,185.0
MRVL,9,3,2,4,18.3,5.0,40.0
NCLH,9,7,0,2,132.4,9.0,664.0
MU,9,3,1,5,38.7,5.0,65.0
DELL,8,1,0,7,49.0,49.0,49.0
GLW,8,2,2,4,18.5,15.0,22.0
CEG,8,3,1,4,35.0,32.0,40.0
EXPE,8,5,0,3,188.8,44.0,634.0
ALB,8,6,0,2,188.2,6.0,484.0
APA,7,5,0,2,224.0,8.0,531.0
WDC,7,2,2,3,218.5,6.0,431.0
STX,7,0,2,5,,,
FLEX,7,1,1,5,43.0,43.0,43.0
UAL,6,4,0,2,76.5,37.0,125.0
DVN,6,4,1,1,125.2,40.0,289.0
EQT,6,4,0,2,50.8,12.0,144.0
WSM,6,1,0,5,74.0,74.0,74.0
PANW,6,2,0,4,244.5,225.0,264.0
TER,6,2,0,4,19.5,10.0,29.0
RCL,6,4,0,2,66.8,36.0,107.0
DECK,6,2,4,0,77.5,66.0,89.0
FTNT,5,2,0,3,101.5,15.0,188.0
FICO,5,1,2,2,151.0,151.0,151.0
NVDA,5,3,0,2,105.0,18.0,236.0
IT,5,1,2,2,36.0,36.0,36.0
ABNB,5,5,0,0,188.2,23.0,461.0
CF,5,3,0,2,239.7,52.0,565.0
BA,5,3,1,1,118.7,15.0,319.0
PODD,5,3,1,1,28.3,12.0,60.0
NOW,5,2,0,3,47.5,43.0,52.0
WYNN,5,3,0,2,76.0,23.0,139.0
WDAY,5,2,0,3,31.0,27.0,35.0
VEEV,5,2,0,3,38.5,10.0,67.0
FIX,4,0,0,4,,,
BBY,4,1,2,1,44.0,44.0,44.0
DAL,4,2,0,2,170.5,60.0,281.0
DXCM,4,1,1,2,123.0,123.0,123.0
ORCL,4,1,3,0,114.0,114.0,114.0
KLAC,4,0,1,3,,,
PYPL,4,1,1,2,9.0,9.0,9.0
QCOM,4,2,2,0,76.5,30.0,123.0
MCHP,4,2,0,2,159.0,59.0,259.0
GDDY,4,3,0,1,16.0,12.0,22.0
F,4,1,1,2,919.0,919.0,919.0
LULU,4,2,2,0,181.5,64.0,299.0
NFLX,4,0,2,2,,,
WST,4,3,1,0,254.3,110.0,343.0
SWKS,4,2,0,2,117.5,92.0,143.0
TKO,3,1,0,2,161.0,161.0,161.0
STLD,3,1,0,2,41.0,41.0,41.0
SWK,3,1,1,1,77.0,77.0,77.0
NUE,3,3,0,0,152.7,20.0,266.0
SNPS,3,1,1,1,43.0,43.0,43.0
JBL,3,0,0,3,,,
NXPI,3,2,0,1,26.5,16.0,37.0
KKR,3,2,1,0,297.0,118.0,476.0
LYB,3,2,0,1,93.0,40.0,146.0
LRCX,3,0,0,3,,,
META,3,1,0,2,201.0,201.0,201.0
LVS,3,1,1,1,49.0,49.0,49.0
CHTR,3,0,2,1,,,
BLDR,3,1,1,1,28.0,28.0,28.0
COF,3,2,0,1,66.0,44.0,88.0
AMAT,3,0,0,3,,,
ADI,3,1,0,2,68.0,68.0,68.0
APO,3,2,0,1,206.5,36.0,377.0
AES,3,1,2,0,31.0,31.0,31.0
Q,3,0,0,3,,,
IQV,3,2,0,1,86.0,76.0,96.0
HAL,3,1,0,2,211.0,211.0,211.0
DLTR,3,0,1,2,,,
FDS,3,1,0,2,25.0,25.0,25.0
CVS,3,1,0,2,220.0,220.0,220.0
HUM,3,2,0,1,66.5,8.0,125.0
CRL,3,2,0,1,233.5,11.0,456.0
FDX,3,2,0,1,162.0,92.0,232.0
BG,3,1,0,2,55.0,55.0,55.0
IDXX,2,1,1,0,308.0,308.0,308.0
GL,2,0,0,2,,,
IBM,2,1,1,0,11.0,11.0,11.0
GEN,2,2,0,0,357.5,45.0,670.0
FCX,2,2,0,0,330.0,172.0,488.0
FDXF,2,0,2,0,,,
HPQ,2,1,0,1,79.0,79.0,79.0
AVGO,2,0,0,2,,,
COO,2,2,0,0,98.0,65.0,131.0
CSGP,2,0,1,1,,,
CNC,2,0,1,1,,,
CDW,2,0,0,2,,,
APTV,2,1,1,0,39.0,39.0,39.0
ARES,2,1,0,1,113.0,113.0,113.0
AMZN,2,1,0,1,145.0,145.0,145.0
ZBRA,2,2,0,0,114.5,42.0,187.0
TGT,2,2,0,0,156.5,35.0,278.0
TRMB,2,2,0,0,42.5,38.0,47.0
TSCO,2,1,0,1,185.0,185.0,185.0
SYF,2,1,0,1,82.0,82.0,82.0
IVZ,2,1,0,1,590.0,590.0,590.0
MGM,2,1,1,0,289.0,289.0,289.0
LYV,2,2,0,0,379.0,14.0,744.0
LEN,2,0,2,0,,,
MPC,2,0,0,2,,,
MOS,2,1,1,0,36.0,36.0,36.0
LUV,2,1,0,1,22.0,22.0,22.0
TPR,2,1,1,0,59.0,59.0,59.0
ROST,2,2,0,0,92.0,50.0,134.0
RL,2,0,0,2,,,
CRM,2,0,1,1,,,
IRM,2,0,0,2,,,
FANG,2,0,0,2,,,
HII,2,0,0,2,,,
EL,2,1,1,0,116.0,116.0,116.0
DOW,2,1,0,1,133.0,133.0,133.0
DVA,2,0,0,2,,,
EFX,2,1,1,0,22.0,22.0,22.0
ANET,2,0,0,2,,,
GRMN,2,0,0,2,,,
IP,2,0,2,0,,,
OXY,2,2,0,0,193.0,100.0,286.0
ODFL,2,0,1,1,,,
PSX,2,0,0,2,,,
PTC,2,0,1,1,,,
INTU,2,1,1,0,51.0,51.0,51.0
KEYS,2,1,0,1,25.0,25.0,25.0
DG,2,1,0,1,127.0,127.0,127.0
ALGN,2,0,2,0,,,
BKR,2,1,0,1,274.0,274.0,274.0
TECH,2,1,0,1,72.0,72.0,72.0
ADSK,2,1,0,1,96.0,96.0,96.0
T,1,1,0,0,255.0,255.0,255.0
MMM,1,0,0,1,,,
ADBE,1,0,0,1,,,
ACN,1,0,0,1,,,
AKAM,1,0,0,1,,,
